Baseline 100%T,,2-0,,2-1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.01394147612,800,0.000343927677,800,-0.001682173344,
799,0.01397783123,799,0.000386701402,799,-0.001891968306,
798,0.01386896241,798,0.000488302554,798,-0.001572982175,
797,0.01389248203,797,0.0004923712695,797,-0.001526243868,
796,0.01399165206,796,0.0003420106077,796,-0.001684855088,
795,0.01388988923,795,0.0004011847777,795,-0.001523664338,
794,0.01406536251,794,0.00032271081,794,-0.001902741496,
793,0.01375611406,793,0.0006210340071,793,-0.001734412508,
792,0.01381821278,792,0.0005147886113,792,-0.001674643834,
791,0.01391600259,791,0.0004787140933,791,-0.001713888836,
790,0.01400857512,790,0.0003584614606,790,-0.001810929039,
789,0.01383627765,789,0.0003971428669,789,-0.001778756618,
788,0.01384095475,788,0.0004595377832,788,-0.001664122916,
787,0.01382107195,787,0.000464953715,787,-0.001751583419,
786,0.01372931525,786,0.0004274063685,786,-0.00165746978,
785,0.01369984727,785,0.0004965177504,785,-0.001659687492,
784,0.0137226088,784,0.000302893779,784,-0.001736011007,
783,0.01367908902,783,0.0003456116247,783,-0.001785614062,
782,0.01364113018,782,0.0002193354157,782,-0.001711826189,
781,0.01355277561,781,0.000381364167,781,-0.001638386748,
780,0.01361059956,780,0.0002766278922,780,-0.001853151829,
779,0.01349533442,779,0.0003126856172,779,-0.00173652661,
778,0.01337217074,778,0.0003697831125,778,-0.001679027453,
777,0.01324591972,777,0.0002846059215,777,-0.001563232508,
776,0.01313208509,776,0.0005462525878,776,-0.00165721192,
775,0.01329529472,775,0.0004039053165,775,-0.001702440553,
774,0.01311532967,774,0.0004480323987,774,-0.001668094075,
773,0.01314718649,773,0.0003312336921,773,-0.001751583419,
772,0.01286322717,772,0.000432821922,772,-0.00151303655,
771,0.01291218586,771,0.0004418911121,771,-0.001639160328,
770,0.01289042551,770,0.0003356376837,770,-0.001656489796,
769,0.01272326335,769,0.0003550417023,769,-0.001562613528,
768,0.01269450318,768,0.0005205162452,768,-0.001836706535,
767,0.01268034987,767,0.0005303129437,767,-0.001688155695,
766,0.0125324782,766,0.0004492243752,766,-0.001503956271,
765,0.01240202319,765,0.0003488758521,765,-0.001465672627,
764,0.0124211479,764,0.0004075845645,764,-0.001609657425,
763,0.0122522749,763,0.0003825559688,763,-0.001534962561,
762,0.01208549086,762,0.0005145294126,762,-0.001221805927,
761,0.01205499005,761,0.0004705511092,761,-0.001530629001,
760,0.01191493962,760,0.0004042162327,760,-0.001559518278,
759,0.01179225091,759,0.0004562727117,759,-0.001374903135,
758,0.0118202595,758,0.0003666223492,758,-0.001555339782,
757,0.01183824148,757,0.0001753869583,757,-0.001622964861,
756,0.01170935109,756,0.0003763897112,756,-0.00143228774,
755,0.01154179219,755,0.0004369159869,755,-0.001436209423,
754,0.01143167168,754,0.0004588121956,754,-0.001562407124,
