Prescan_EX,,Prescan_EM,,3,,4,,5,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
200,37.0370369,577.0100098,253.2163849,585,348.8860474,570,59.99461746,570,59.5077095,
202.0299988,127.9069748,579.0999756,291.7052917,586.0200195,346.5449524,571.039978,69.39394379,571.039978,67.84983063,
204.0599976,191.0112305,581.0200195,319.0939941,587.0499878,340.2213135,571.9400024,80.91853333,571.9400024,78.90477753,
205.9299927,118.2795715,583.0800171,330.5142822,587.9400024,339.2106628,572.9799805,89.93144226,572.9799805,89.3395462,
207.9600067,163.0434875,585,345.355957,588.9699707,343.0932617,574.0200195,101.9152756,574.0200195,103.3858109,
210,154.6391754,587.0499878,339.2156982,590,328.5430603,575.0700073,115.4813919,575.0700073,112.5471191,
212.0299988,126.2135925,588.9699707,331.5323486,591.0200195,319.3930054,575.9699707,122.5859451,575.9699707,121.0589371,
214.0599976,151.515152,591.0200195,313.0651245,592.0499878,306.9922791,577.0100098,139.9889984,577.0100098,131.0178375,
215.9299927,200,593.0800171,291.5900574,592.9400024,299.6445618,578.0499878,147.0117493,578.0499878,145.7849426,
217.9600067,136.7521362,595,273.0414734,593.9699707,289.3212585,578.9500122,152.0787811,578.9500122,153.688797,
220,120,597.0499878,253.1946259,595,285.2713318,580,164.7058868,580,165.217392,
222.0599976,131.9444427,598.9699707,233.2797089,596.0200195,275.9257202,581.0200195,171.464859,581.0200195,169.6367798,
223.9600067,158.5365906,601.0200195,212.6951294,597.0499878,265.6304932,582.0499878,175.6320648,582.0499878,178.1404266,
226.0299988,158.0882416,603.0800171,194.8618011,597.9400024,249.9424591,582.9400024,179.9890594,582.9400024,183.8044586,
227.9299927,147.0588226,605,180.4141388,598.9699707,244.8979645,583.9699707,185.1182098,583.9699707,188.9304962,
230,132.3877106,607.0499878,164.8453979,600,231.7260895,585,188.0101318,585,186.6685028,
232.0299988,129.7709961,608.9699707,154.4176483,,,586.0200195,188.133728,586.0200195,186.3958893,
234.0599976,145.4545441,611.0200195,142.7072449,,,587.0499878,184.473999,587.0499878,186.4269257,
235.9299927,156.3275452,613.0800171,131.5669708,,,587.9400024,177.6705627,587.9400024,184.549942,
237.9600067,152.6548767,615,126.4767227,,,588.9699707,180.8911896,588.9699707,185.6866455,
240,178.6833801,617.0499878,120.7015991,,,590,181.4855042,590,180.0679626,
242.0299988,168.4210663,618.9699707,114.2725525,,,591.0200195,176.5544739,591.0200195,172.0976257,
244.0599976,173.4985657,621.0100098,110.0832596,,,592.0499878,169.2265167,592.0499878,170.5768738,
245.9299927,175.0405121,623.039978,105.2631607,,,592.9400024,162.0213928,592.9400024,163.6113129,
247.9600067,168.3093262,625.0700073,97.78662872,,,593.9699707,162.0206604,593.9699707,162.5035095,
250,165.0983734,627.0999756,94.53781891,,,595,151.6968689,595,150.2134552,
252,175.2049103,628.9799805,90.58055115,,,596.0200195,148.9302216,596.0200195,145.8108063,
254,177.437027,631.0200195,84.33734894,,,597.0499878,140.0298157,597.0499878,143.1990967,
256,203.8327484,633.0800171,81.27167511,,,597.9400024,136.3265381,597.9400024,132.4004211,
258,196.1869659,635,75.14717102,,,598.9699707,132.1174927,598.9699707,127.1127319,
260,178.3596802,637.0499878,72.98513031,,,600,120.5453568,600,120.0491638,
262.0299988,174.9174957,638.9699707,66.65898132,,,601.0200195,119.8070221,601.0200195,117.1393356,
264.0599976,178.1609192,641.0100098,63.9425354,,,602.0499878,112.3124771,602.0499878,111.2786102,
265.9299927,169.9196472,643.039978,60.42977524,,,602.9400024,108.6571198,602.9400024,106.0070724,
267.9599915,177.5887909,645.0700073,52.17695999,,,603.9699707,107.1478119,603.9699707,102.7705765,
270,176.3720245,647.0999756,50.26825333,,,605,100.6618881,605,96.28610992,
272.0299988,162.7906952,648.9799805,45.53394699,,,606.0200195,98.22517395,606.0200195,96.15384674,
274.0599976,165.4593964,651.0100098,44.29561615,,,607.0499878,94.62095642,607.0499878,93.3425827,
275.9299927,166.1277313,653.039978,40.0429039,,,607.9400024,93.39060974,607.9400024,89.43421936,
277.9599915,172.4537048,655.0700073,35.06311417,,,608.9699707,89.49745941,608.9699707,86.97444153,
280,188.2758636,657.0999756,33.15507889,,,610,84.55984497,610,83.51147461,
282.0299988,186.6743317,658.9799805,29.5520649,,,611.0200195,84.030159,611.0200195,83.20427704,
284.0599976,182.2381897,661,26.26063347,,,612.0499878,80.45653534,612.0499878,76.7213974,
285.9299927,181.5431061,663,25.56320763,,,612.9400024,74.01383209,612.9400024,73.98030853,
287.9599915,178.0230255,665,21.80028152,,,613.9699707,72.90081787,613.9699707,71.46941376,
290,180.6615753,667,20.90877342,,,615,73.02259827,615,73.15057373,
292,182.8737183,669,19.29824638,,,616.0200195,70.3849411,616.0200195,70.38531494,
294,186.4552002,671.0100098,16.7402916,,,617.0499878,68.75531006,617.0499878,67.71053314,
296,176.1996155,673.039978,16.04710197,,,617.9400024,66.17957306,617.9400024,64.80097961,
298,175.7188416,675.0700073,15.22070026,,,618.9699707,63.59031677,618.9699707,65.14749146,
300,175.5793304,677.0999756,13.22875214,,,620,63.14628601,620,64.26376343,
302.0299988,177.5431976,678.9799805,11.87565422,,,621.0100098,63.72756577,621.0100098,61.83574677,
304.0599976,186.9479828,681,11.60473537,,,622.0200195,61.64765167,622.0200195,60.20682526,
305.9299927,190.6799774,683,10.7489996,,,623.039978,58.92981339,623.039978,61.14756393,
307.9599915,191.0913086,685,10.28004265,,,624.0499878,55.85905457,624.0499878,58.05916214,
310,182.3873138,687,9.965997696,,,625.0700073,57.21250153,625.0700073,59.12921143,
312,168.1681671,689,9.998837471,,,625.9400024,55.39479065,625.9400024,55.36529922,
314,149.3105164,691,9.152271271,,,626.9500122,52.09622192,626.9500122,53.76195145,
316,136.2480927,693,8.751671791,,,627.9699707,51.46150589,627.9699707,53.05263138,
318,120.8913651,695,7.761816502,,,628.9799805,49.45883179,628.9799805,51.13231659,
320,111.6666641,697,8.193758011,,,630,47.95932388,630,49.92947769,
322.0299988,95.41000366,699,7.680306911,,,631.0200195,46.25550842,631.0200195,47.36397171,
324.0599976,84.47265625,701,6.656545639,,,632.0499878,46.74318695,632.0499878,46.37722015,
325.9299927,79.34131622,703,6.614963531,,,632.9400024,44.36152267,632.9400024,45.85757828,
327.9599915,75.39479828,705,6.395559311,,,633.9699707,43.15938187,633.9699707,43.70002747,
330,81.96720886,707,5.748502731,,,635,42.49649429,635,43.05957031,
332,84.07079315,709,5.67845726,,,636.0200195,40.63388824,636.0200195,42.03786469,
334,92.4741745,711,5.267470837,,,637.0499878,39.05179214,637.0499878,41.55162811,
336,101.144165,713,4.81209898,,,637.9400024,37.44740295,637.9400024,38.47756577,
338,106.42202,715,4.469678879,,,638.9699707,36.53032303,638.9699707,37.20033264,
340,116.4568329,717,3.72569561,,,640,36.50336456,640,36.90610886,
342,122.9969711,719,3.98126483,,,641.0100098,34.41708374,641.0100098,34.20440292,
344,137.1001282,720.9799805,3.973355055,,,642.0200195,32.40740585,642.0200195,34.12256241,
346,137.5245667,723.0900269,2.75185442,,,643.039978,32.24478531,643.039978,33.29618454,
348,148.0730133,725.0700073,3.146119833,,,644.0499878,32.0539856,644.0499878,31.26314354,
350,160.8336639,727.039978,3.229154825,,,645.0700073,29.25243759,645.0700073,29.76515579,
352,165.062912,729.0100098,2.433089972,,,645.9400024,28.21917915,645.9400024,29.61403465,
354,165.4087982,730.9799805,2.953686237,,,646.9500122,29.23734665,646.9500122,29.23816109,
356,159.0555267,733.0900269,1.535553932,,,647.9699707,26.01196289,647.9699707,27.01972389,
358,144.3686829,735.0700073,2.688486338,,,648.9799805,27.08095932,648.9799805,26.7590313,
360,129.3943176,737.039978,1.64203608,,,650,24.99290085,650,24.67604256,
362.0299988,117.8120575,739.0100098,1.763460994,,,,,,,
364.0599976,99.19697571,740.9799805,2.416570663,,,,,,,
365.9299927,86.87943268,743.0900269,1.865671635,,,,,,,
